PlayerName,TrackerID,KillDeathRatio,WinRatio,TimeSurvived,RoundsPlayed,Wins,WinTop10Ratio,Top10s,Top10Ratio,Losses,Rating,BestRating,DamagePg,HeadshotKillsPg,HealsPg,KillsPg,MoveDistancePg,RoadKillsPg,TeamKillsPg,TimeSurvivedPg,Top10sPg,Kills,Assists,Suicides,TeamKills,HeadshotKills,HeadshotKillRatio,VehicleDestroys,RoadKills,DailyKills,WeeklyKills,RoundMostKills,MaxKillStreaks,Days,LongestTimeSurvived,MostSurvivalTime,AvgSurvivalTime,WinPoints,WalkDistance,RideDistance,MoveDistance,AvgWalkDistance,AvgRideDistance,LongestKill,Heals,Boosts,DamageDealt
iAlwaysWin,55782,3.02,6.25,47732.99,48,3,0.27,11,22.9,45,2144.65,2154.18,318.6,0.9,2.12,2.83,3957.39,0,0,994.44,0.23,136,6,0,0,43,0.32,1,0,0,0,12,3,26,1904.57,1904.57,994.44,1749,68795.63,121159.1,189954.8,1433.24,2524.15,378.97,102,119,15292.77
Jacobwojo,190516,1,0,3368.1,5,0,0,1,20,5,1254.67,1217.45,132.58,0,1.8,1,2035.07,0.2,0,673.62,0.2,5,0,0,0,0,0,0,1,4,4,4,1,3,1742.84,1742.84,673.62,1046,7644.47,2530.87,10175.34,1528.89,506.17,113.42,9,4,662.9
Hinni,179146,1.85,4.76,22877.35,21,1,0.17,3,14.3,20,1474.65,1471.67,191.17,0.57,0.57,1.76,2778.49,0,0,1089.4,0.14,37,2,0,0,12,0.32,0,0,6,6,7,1,8,1867,1867,1208.73,3330,50597.19,7751.02,58348.22,2499.6,698.53,183.3,12,16,4014.56
jewgong,62992,1.08,1.12,64870.8,89,1,0.07,15,16.9,88,1507.62,1587.79,129.72,0.21,0.89,1.07,2297.58,0.01,0.03,728.89,0.17,95,7,3,3,19,0.2,0,1,5,40,7,2,16,1946.39,1946.39,728.89,1247,113186,91298.54,204484.5,1271.75,1025.83,396.84,79,89,11544.79
P4ul,190702,1,2.5,29249.81,40,1,0.33,3,7.5,39,1403.35,1414.27,109.64,0.22,0.52,0.98,1506.69,0,0.05,731.25,0.08,39,3,2,2,9,0.23,0,0,0,0,6,2,13,1921.62,1921.62,731.25,1161,42474.83,17792.8,60267.63,1061.87,444.82,125.86,21,12,4385.7
punjistick,1536,0,0,149.17,1,0,0,0,0,1,1183.23,1200,0,0,0,0,177.47,0,0,149.17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,149.17,149.17,149.17,985,177.47,0,177.47,177.47,0,0,0,0,0
Arbidus,65844,1.05,1.79,99111.65,112,2,0.11,18,16.1,110,2107.37,2145.01,128.42,0.18,1.25,1.03,3074.53,0.01,0.01,884.93,0.16,115,8,1,1,20,0.17,0,1,5,10,6,1,32,1933.96,1933.96,884.93,1725,191431.5,152916,344347.4,1709.21,1365.32,215.47,140,121,14382.92
IgnisArdens,160584,1,0,3624.65,4,0,0,0,0,4,1235.47,1240.04,141.63,0,1,1,1447.18,0,0,906.16,0,4,0,0,0,0,0,0,0,2,4,2,1,3,1401.52,1401.52,906.16,1025,5788.71,0,5788.71,1447.18,0,19.91,4,2,566.53
Aranwa,164302,1.45,3.12,79260.38,96,3,0.21,11,11.5,93,1741.04,1755.75,158.03,0.29,0.9,1.41,2297.04,0,0,825.63,0.11,135,5,0,0,28,0.21,0,0,23,28,8,2,29,2013.78,2013.78,861.94,3819,111484.27,109031.13,220515.38,1254.76,886.49,246.08,86,104,15171.03
Nameless13337,88307,1.26,3.35,131898.99,179,6,0.14,24,13.4,173,2187.94,2235.92,150.81,0.31,1.15,1.22,2288.43,0,0.01,736.87,0.13,218,19,1,1,56,0.26,1,0,2,29,12,2,43,2078.9,2078.9,948.41,2946,185821.69,223806.49,409628.18,1510.39,1247.19,604.4,206,136,26994.98
HypeHypeHype,215128,2.57,6.67,11689.8,15,1,1,1,6.7,14,1438.54,1426.92,269.51,0.53,2.2,2.4,2024.09,0,0.07,779.32,0.07,36,0,1,1,8,0.22,0,0,6,33,8,1,7,1828.19,1828.19,779.32,1171,18954.73,11406.68,30361.4,1263.65,760.45,160.19,33,23,4042.6
brumbledeen,141512,1.09,0,130116.52,152,0,0,16,10.5,152,2226.77,2243.06,139.76,0.16,1.42,1.09,2032.42,0.01,0,856.03,0.11,165,16,0,0,24,0.15,0,2,5,14,8,3,30,1952.55,1952.55,1146.46,2910,176339.67,132588.17,308927.85,1193.32,1204.87,481.49,216,172,21244.19
SeoJum,18766,0.6,0,4703.42,5,0,0,1,20,5,1245.6,1255.86,94.61,0,0.4,0.6,3398.28,0,0,940.68,0.2,3,0,0,0,0,0,0,0,0,0,2,1,4,1703.18,1703.18,940.68,1042,6486.9,10504.52,16991.42,1297.38,2100.9,54.25,2,1,473.04
L33tSauce,60589,1.07,0.81,87066.85,123,1,0.07,14,11.4,122,1969.04,1999.83,137.69,0.14,1.05,1.06,1648.52,0.02,0.01,707.86,0.11,130,6,1,1,17,0.13,0,2,1,3,8,2,24,2049.82,2049.82,707.86,1630,132268.6,70498.88,202767.5,1075.35,573.16,592.35,129,98,16936.32
The-Champ,89853,1.33,0,2397.2,3,0,0,0,0,3,1229.11,1230.26,166.89,0.67,0,1.33,2007.83,0,0.33,799.07,0,4,0,1,1,2,0.5,0,0,2,2,2,1,3,1632.23,1632.23,799.07,1021,3658.96,2364.52,6023.49,1219.66,788.17,84.56,0,1,500.68
