PlayerName,TrackerID,KillDeathRatio,WinRatio,TimeSurvived,RoundsPlayed,Wins,WinTop10Ratio,Top10s,Top10Ratio,Losses,Rating,BestRating,DamagePg,HeadshotKillsPg,HealsPg,KillsPg,MoveDistancePg,RoadKillsPg,TeamKillsPg,TimeSurvivedPg,Top10sPg,Kills,Assists,Suicides,TeamKills,HeadshotKills,HeadshotKillRatio,VehicleDestroys,RoadKills,DailyKills,WeeklyKills,RoundMostKills,MaxKillStreaks,Days,LongestTimeSurvived,MostSurvivalTime,AvgSurvivalTime,WinPoints,WalkDistance,RideDistance,MoveDistance,AvgWalkDistance,AvgRideDistance,LongestKill,Heals,Boosts,DamageDealt
petoR,184934,1.66,0,32294.15,41,0,0,4,9.8,41,1634.77,1605.28,177.1,0.37,1.78,1.66,1442.12,0,0,787.66,0.1,68,2,0,0,15,0.22,0,0,3,3,4,2,14,1760.64,1760.64,787.66,1328,36268.07,22858.75,59126.82,884.59,557.53,284.4,73,76,7261.1
JC_Crawford,169635,2.06,11.11,19017.42,18,2,0.4,5,27.8,16,1684.03,1627.74,206.53,0.44,1.5,1.83,2473.36,0,0,1056.52,0.28,33,4,0,0,8,0.24,0,0,5,14,5,1,5,2062.97,2062.97,1056.52,1397,22078.67,22441.72,44520.39,1226.59,1246.76,180.31,27,36,3717.52
jaykeblakk,136667,0.76,0,116979.29,142,0,0,17,12,142,1488.68,1527.41,97.62,0.09,0.75,0.76,2148.05,0.07,0.01,823.8,0.12,108,10,1,1,13,0.12,0,10,4,4,6,2,28,1970.65,1970.65,888.28,2413,170325.6,134697.68,305023.18,1319.35,878.12,393.98,107,90,13861.86
Hammer,159532,4.75,0,5103.45,4,0,0,1,25,4,1341.97,1317.5,526.58,0.75,3,4.75,2310.17,0,0,1275.86,0.25,19,1,0,0,3,0.16,0,0,4,15,9,1,4,1875.41,1875.41,1275.86,1098,8415.25,825.44,9240.69,2103.81,206.36,281.2,12,11,2106.32
Krissuu,48766,1.26,1.2,65332.01,83,1,0.11,9,10.8,82,1845.7,1826.6,150.76,0.28,0.84,1.24,2066.83,0.01,0.01,787.13,0.11,103,7,1,1,23,0.22,0,1,2,6,7,2,25,1963.18,1963.18,787.13,1535,97917,73629.57,171546.6,1179.72,887.1,256.22,70,121,12513.01
Tarcil,135802,0.8,1.94,127471.9,155,3,0.12,25,16.1,152,2164.57,2189.77,101.11,0.1,1.22,0.79,2309.52,0.01,0.01,822.4,0.16,122,9,1,1,16,0.13,1,1,2,3,5,2,30,1957.56,1957.56,822.4,1802,192844.9,165131,357975.9,1244.16,1065.36,332.52,189,138,15672.25
ZANIZ,64488,1.55,8.33,11919.98,12,1,0.5,2,16.7,11,1409.29,1435.08,188.81,0.5,0.67,1.42,2134.44,0,0,993.33,0.17,17,2,0,0,6,0.35,0,0,1,1,6,1,8,1878.21,1878.21,993.33,1171,17104.44,8508.9,25613.34,1425.37,709.08,223.3,8,10,2265.75
r4ngo1,167836,1.05,3.73,127133.12,134,5,0.26,22,16.4,129,1784.94,1790.74,116.69,0.37,1.55,1.01,2846.07,0.01,0.01,948.75,0.16,135,10,2,2,50,0.37,1,2,3,15,10,7,40,2187.41,2187.41,1031.86,2871,181410.95,199961.96,381372.9,1503.49,1709.46,354.7,208,157,15637.03
UndercoverBoss,155111,0.95,1.11,144496.8,180,2,0.12,16,8.9,178,2199.84,2226.93,115.23,0.14,1.28,0.94,1969.47,0.01,0.01,802.76,0.09,169,9,1,1,25,0.15,0,2,0,15,5,2,40,2177.87,2177.87,802.76,1817,208966.8,145538.2,354505,1160.93,808.55,253.72,231,181,20740.83
xTWISTDKILL3Rx,212083,0.48,0,261383.5,310,0,0,15,4.8,310,2091.68,2077.69,55.63,0.05,0.53,0.48,1464.77,0,0,843.17,0.05,148,4,1,1,17,0.11,0,0,10,22,5,2,26,1871.33,1871.33,843.17,1749,372001,82078.64,454079.6,1200,264.77,184.38,163,121,17244.16
Cockeye,21593,1.25,0,16277.34,24,0,0,3,12.5,24,1274.95,1290.96,154.16,0.12,1.21,1.25,1624.9,0,0,678.22,0.12,30,3,0,0,3,0.1,0,0,4,4,6,5,9,1780.86,1780.86,1136.9,2082,24833.94,14163.75,38997.69,2321.29,1756.79,224.49,29,21,3699.73
rhendms,59126,0.58,0,42394.66,43,0,0,7,16.3,43,1547.46,1547.18,62.29,0.07,1.07,0.58,2226.09,0,0,985.92,0.16,25,0,0,0,3,0.12,0,0,1,1,2,1,21,1836.38,1836.38,985.92,1301,70763.98,24958.04,95722.02,1645.67,580.42,245.34,46,45,2678.28
HawiianExpress,221261,1.23,1.9,117421.68,158,3,0.25,14,8.9,155,2008.44,2054.52,138.79,0.33,0.99,1.21,2021.27,0.01,0.01,743.18,0.09,191,4,1,1,52,0.27,0,2,22,50,15,2,44,1968.4,1968.4,884.21,3956,183191.85,136169.34,319361.18,1476.09,755.98,395.03,157,114,21928.66
NestorX85,36863,1.88,0,29651.57,24,0,0,6,25,24,1750.42,1697.39,252.14,0.29,1.21,1.88,2856.21,0,0,1235.48,0.25,45,2,0,0,7,0.16,0,0,4,4,6,2,10,1947.03,1947.03,1235.48,1448,50355.55,18193.52,68549.08,2098.15,758.06,296.12,29,25,6051.32
S0N7,216419,2,9.09,29594.93,33,3,0.47,6,18.2,30,1748.95,1765.44,219.66,0.24,1.55,1.82,1541.99,0,0,896.82,0.18,60,3,0,0,8,0.13,0,0,4,8,8,2,11,1969.63,1969.63,895.73,3553,42933.6,7951.93,50885.53,1331.56,88.35,216.88,51,44,7248.92
Emilio_Maceta,89334,1.45,8.33,16428.98,12,1,0.17,6,50,11,1588.52,1566.69,167.37,0.25,1.67,1.33,6479.71,0,0.08,1369.08,0.5,16,1,1,1,3,0.19,0,0,3,3,6,1,6,1897.57,1897.57,1369.08,1340,20265.83,57490.65,77756.48,1688.82,4790.89,257.66,20,29,2008.44
RedzUndead,47685,1.65,7.14,34115.3,28,2,0.11,9,32.1,26,1734.68,1758.45,164.57,0.25,1.36,1.54,3320.38,0.07,0,1218.4,0.32,43,2,0,0,7,0.16,0,2,7,8,7,2,17,1968.88,1968.88,1374.09,2487,48451.71,44519.04,92970.75,2550.95,2179,446.32,38,35,4608.06
dercoon11,187427,3,0,3224.31,2,0,0,1,50,2,1290.82,1237.57,219.01,0,1,3,5975.16,0.5,0,1612.16,0.5,6,0,0,0,0,0,0,1,6,6,4,1,1,1760.25,1760.25,1612.16,1074,4679.95,7270.39,11950.33,2339.97,3635.19,149.64,2,8,438.02
smockherz69,18759,1.65,0,83889.22,127,0,0,11,8.7,127,1912.44,1924.99,190.06,0.27,1.17,1.65,1889.35,0.02,0.02,660.55,0.09,210,9,2,2,34,0.16,3,2,6,6,8,2,37,1898.5,1898.5,660.95,3701,127918.4,112028.6,239946.96,964.38,1021.48,229.2,148,169,24137.9
Jaybuzz,131801,1.33,2,42292.8,50,1,0.17,6,12,49,1633.32,1717.35,167.1,0.18,1.7,1.3,2374.32,0.08,0,845.86,0.12,65,7,0,0,9,0.14,1,4,1,2,8,1,15,1973.56,1973.56,845.86,1344,75486.06,43229.9,118716,1509.72,864.6,256.77,85,59,8354.87
Kalitas,10152,0.89,1.29,208443.67,232,3,0.05,29,12.5,229,2223.32,2279.02,114.74,0.2,1.94,0.88,3670.57,0.03,0.03,898.46,0.12,204,21,6,6,47,0.23,9,6,6,9,6,2,58,1976.06,1976.06,983.57,6349,332015.31,519557.13,851572.44,1460.38,2046.61,307.81,451,354,26620.47
captpancakes,196534,1.08,0,13983.16,13,0,0,2,15.4,13,1344.24,1369.77,134.55,0,0.85,1.08,2102.02,0.08,0,1075.63,0.15,14,0,0,0,0,0,0,1,4,4,6,1,7,1896.35,1896.35,1075.63,1122,18843.32,8483,27326.32,1449.49,652.54,179.57,11,23,1749.16
Wo_Fat,156209,1.06,0,27415.86,31,0,0,2,6.5,31,1496.7,1507.82,134.34,0.13,1.16,1.06,2673.13,0,0,884.38,0.06,33,2,0,0,4,0.12,0,0,1,8,4,2,11,1763.43,1763.43,884.38,1245,47147.07,35719.94,82867.01,1520.87,1152.26,284.3,36,18,4164.5
Ravix,187870,0,0,101.97,1,0,0,0,0,1,1179.26,1200,55,0,0,0,25.8,0,0,101.97,0,0,0,0,0,0,0,0,0,0,0,0,0,1,101.97,101.97,101.97,982,25.8,0,25.8,25.8,0,0,0,0,55
Azur-3,95535,1.43,0,22150.6,30,0,0,2,6.7,30,1448.07,1449.41,164.67,0.3,0.83,1.43,1890.19,0,0,738.35,0.07,43,3,0,0,9,0.21,0,0,2,5,5,1,9,1761.75,1761.75,738.35,1187,39451.37,17254.45,56705.82,1315.05,575.15,185.92,25,12,4940.07
Borian,183920,1.21,6.52,47249.21,46,3,0.14,11,23.9,43,1887.55,1906.66,120.69,0.48,2.7,1.13,2788.41,0.02,0.02,1027.16,0.24,52,1,1,1,22,0.42,0,1,2,6,5,3,21,2180.22,2180.22,601.81,2557,88324.63,39942.35,128266.96,1027.3,453.89,214.95,124,69,5551.86
iLLuN,219934,1.23,2.08,39783.46,48,1,0.25,4,8.3,47,1688.83,1672.27,142.14,0.21,1.31,1.21,2436.78,0.02,0,828.82,0.08,58,3,0,0,10,0.17,0,1,8,19,8,2,15,1881.24,1881.24,828.82,1388,75512.23,41452.97,116965.2,1573.17,863.6,297.92,63,52,6822.94
Puttelito,165643,0.58,0,28873.59,31,0,0,1,3.2,31,1407.15,1400.94,84.12,0.06,1.81,0.58,1842.49,0.03,0,931.41,0.03,18,1,0,0,2,0.11,0,1,0,0,3,2,9,1962.2,1962.2,931.41,1180,48690.87,8426.33,57117.2,1570.67,271.82,46.32,56,11,2607.83
nNegann,30246,1,0,170977.8,215,0,0,19,8.8,215,2136.46,2157.39,127.64,0.22,1.64,1,2076.45,0,0,795.25,0.09,215,15,0,0,48,0.22,0,1,5,9,6,2,42,2145.23,2145.23,795.25,1751,250609.8,195826.8,446436.6,1165.63,910.82,221.2,353,250,27442.17
Silverbee,120741,3.67,40,7461.69,5,2,1,2,40,3,1468.51,1461.86,253.98,0.4,0.8,2.2,5252.32,0.2,0,1492.34,0.4,11,0,0,0,2,0.18,0,1,0,0,4,1,5,1923.6,1923.6,1492.34,1240,11491.22,14770.39,26261.62,2298.24,2954.08,217.91,4,11,1269.91
BillieBong,132003,1.93,2.7,52187.55,74,2,0.3,6,8.1,72,1939.2,1953.89,227.59,0.46,1.32,1.88,1750.15,0,0,705.24,0.08,139,6,0,0,34,0.24,2,0,15,60,11,2,20,1957.37,1957.37,641.39,4669,65826.75,63684.63,129511.36,674.45,698.72,351.08,98,121,16841.55
RedNationDeza,71200,1.83,5.48,59995.05,73,4,0.57,7,9.6,69,2128.59,2152.9,202.66,0.56,1.59,1.73,2196.45,0.01,0,821.85,0.1,126,10,0,0,41,0.33,0,1,7,20,9,2,16,2006.63,2006.63,821.85,1744,118588.6,41752.56,160341.2,1624.5,571.95,415.66,116,110,14794.33
Askeladn,153129,2.5,0,4622.84,4,0,0,1,25,4,1299.35,1282.89,246.24,0.5,1.25,2.5,2412.5,0,0,1155.71,0.25,10,0,0,0,2,0.2,0,0,0,0,7,1,3,1900.49,1900.49,1155.71,1073,9007.86,642.13,9650,2251.97,160.53,363.22,5,6,984.95
PrettyFlack0,63939,2.64,2.5,31002.69,40,1,0.2,5,12.5,39,1854.51,1830.58,295.97,0.8,1.38,2.58,2730.67,0,0.02,775.07,0.12,103,2,1,1,32,0.31,1,0,4,4,11,3,12,1890.16,1890.16,775.07,1495,64924.74,44302.09,109226.8,1623.12,1107.55,357.27,55,67,11838.94
Foxy999,181658,1.5,0,1838.96,2,0,0,0,0,2,1203.23,1200,150,0,0,1.5,2512.84,0,0,919.48,0,3,0,0,0,0,0,0,0,3,3,2,1,2,1124.21,1124.21,919.48,1997,1452.42,3573.26,5025.68,726.21,1786.63,19.93,0,1,300
Kojiro_Hyuga,189018,1.28,1.82,44870.34,55,1,0.17,6,10.9,54,1708.31,1736.79,150.01,0.18,1.49,1.25,2316.99,0.07,0,815.82,0.11,69,2,0,0,10,0.14,2,4,0,6,7,2,19,1879.6,1879.6,815.82,1411,68580.19,58854.18,127434.4,1246.91,1070.08,212.64,82,63,8250.28
SmashGBR,126392,1.32,0,33383.26,44,0,0,6,13.6,44,1550.98,1542.4,161.59,0.16,1.5,1.32,1773.09,0,0,758.71,0.14,58,7,0,0,7,0.12,0,0,4,5,8,2,14,1862.03,1862.03,758.71,1276,44741.16,33274.89,78016.05,1016.84,756.25,194,66,46,7110.04
KI14,119662,1.14,0,29479.79,35,0,0,2,5.7,35,1482.65,1502.79,142.44,0.2,1.11,1.14,2911.91,0.09,0.03,842.28,0.06,40,2,1,1,7,0.18,0,3,1,2,4,1,28,1983.26,1983.26,813.8,3239,52238.89,49678.09,101916.97,1470.19,1302.43,209.4,39,25,4985.56
Mookum,138050,0.6,0,39425.95,45,0,0,5,11.1,45,1383.3,1434.98,83.98,0.11,0.82,0.6,2116.32,0.02,0.02,876.13,0.11,27,3,1,1,5,0.19,0,1,3,3,3,2,19,1789.96,1789.96,876.13,1154,56424.36,38810.02,95234.38,1253.88,862.44,191.6,37,42,3779.16
SmakoszGanja,182598,0.92,0,9465.48,12,0,0,0,0,12,1179.53,1228.76,116.42,0.08,0.67,0.92,998.63,0,0,788.79,0,11,0,0,0,1,0.09,0,0,0,0,4,2,7,1515.24,1515.24,788.79,971,8304.48,3679.06,11983.54,692.04,306.59,216.72,8,8,1397.08
penguinmutation,82975,1.06,0.64,137401.01,156,1,0.02,19,12.2,155,1982.67,1995.48,127.24,0.35,1.2,1.06,2909.35,0.03,0.03,880.78,0.12,165,6,4,4,55,0.33,2,5,20,36,7,6,30,1956.14,1956.14,1027.85,3992,246590.22,207267.97,453858.2,1930.87,1644.73,326.59,187,146,19849.98
MeinSunshine,182000,3,0,6312.8,6,0,0,2,33.3,6,1343.86,1321.46,309.51,0.5,2.33,3,3293.95,0,0,1052.13,0.33,18,0,0,0,3,0.17,0,0,9,14,6,1,3,1806.11,1806.11,1052.13,1104,6629.58,13134.13,19763.7,1104.93,2189.02,199,14,11,1857.09
OSNAZ-774,205599,1,2.86,38422.43,35,1,0.1,6,17.1,34,1661.11,1644.86,135.39,0.2,0.77,0.97,2739.31,0.06,0,1097.78,0.17,34,2,0,0,7,0.21,0,2,7,7,5,1,10,1968.94,1968.94,1298.97,2448,48080.01,47795.71,95875.71,1398.95,1917.42,240.53,27,30,4738.53
Sunshine_,189132,1.13,0,22680.29,31,0,0,2,6.5,31,1355.84,1357.34,107.73,0.19,0.84,1.13,2161.44,0,0,731.62,0.06,35,0,0,0,6,0.17,0,0,3,5,7,1,19,1843.66,1843.66,731.62,1114,34111.2,32893.45,67004.65,1100.36,1061.08,203.01,26,6,3339.71
ufen,67006,2.22,2.31,81810.3,130,3,0.21,14,10.8,127,2010.1,2034.35,244.35,0.56,1.61,2.17,1943.37,0.01,0,629.31,0.11,282,22,0,0,73,0.26,0,1,11,18,14,3,31,2194.05,2194.05,639.78,3105,109199.7,143438.82,252638.5,856.83,1140.67,694.78,209,178,31765.95
G3tL3s1o,165905,1.07,6.67,15787.64,15,1,0.33,3,20,14,1475.65,1434.78,127.48,0,0.93,1,3421.72,0,0,1052.51,0.2,15,1,0,0,0,0,0,0,3,3,6,1,5,1838.47,1838.47,1052.51,1239,29170.91,22154.86,51325.77,1944.73,1476.99,150.14,14,22,1912.22
CheeseLouise,219752,1,0.84,135720.2,238,2,0.12,17,7.1,236,1776.93,1841.78,123.73,0.2,0.86,0.99,1748.32,0.01,0.02,570.25,0.07,235,18,4,4,47,0.2,4,2,0,16,9,2,43,1978.53,1978.53,570.25,1438,186179,229921.5,416100.5,782.26,966.06,255.21,205,207,29448.31
OsanaiYuki,150018,1.98,1.92,53717.93,52,1,0.09,11,21.2,51,2086.28,2072.73,208.39,0.25,2.69,1.94,2440.62,0,0,1033.04,0.21,101,2,0,0,13,0.13,1,0,9,9,9,1,16,1899.48,1899.48,1033.04,1710,89381.23,37530.79,126912,1718.87,721.75,211.83,140,115,10836.09
DirtMcGurt,134586,1.16,1.08,65214.84,93,1,0.5,9,9.7,92,1646.46,1678.8,133.35,0.17,0.76,1.15,1687.64,0.02,0.01,701.23,0.1,107,7,1,1,16,0.15,0,2,1,9,8,2,29,1907.35,1907.35,1123.35,2486,88657.38,68293.54,156950.94,1945.47,676.51,215.75,71,68,12401.43
Bigjwilliams222,127628,5.2,16.67,7894.34,6,1,0.5,2,33.3,5,1468.44,1329.22,489.07,0.5,2.5,4.33,1864.57,0,0,1315.72,0.33,26,1,0,0,3,0.12,0,0,7,7,7,1,5,1980.08,1980.08,1315.72,1214,7811.32,3376.09,11187.4,1301.89,562.68,150.17,15,22,2934.42
Zyrot,109867,1.24,2.94,117255.5,136,4,0.21,14,10.3,132,1988.24,2012.55,142.58,0.4,2.2,1.21,2149.62,0.03,0,862.17,0.1,164,9,0,0,55,0.34,0,4,3,9,9,2,34,1976.08,1976.08,914.35,4090,184905.8,107442.66,292348.44,1544.71,774.67,536.18,299,136,19390.86
MergueZer,211684,3.5,0,1964.11,2,0,0,0,0,2,1234.6,1229.8,331.15,0,0,3.5,1574.94,0,0,982.05,0,7,0,0,0,0,0,0,0,7,7,4,2,1,1484.94,1484.94,982.05,1019,2326.37,823.5,3149.87,1163.19,411.75,70.38,0,3,662.29
Kikken_F,74283,0.87,0,10625.06,15,0,0,0,0,15,1257.54,1273.13,93.15,0.07,0.87,0.87,1382.5,0.07,0,708.34,0,13,1,0,0,1,0.08,0,1,3,3,5,1,6,1499.39,1499.39,708.34,1041,16807.79,3929.77,20737.56,1120.52,261.98,88.08,13,5,1397.21
Shiklin,183795,1.48,1.64,65853.64,61,1,0.08,14,23,60,1771.88,1795.69,182.11,0.41,1.87,1.46,3900.07,0,0,1079.57,0.23,89,6,0,0,25,0.28,0,0,8,18,11,2,28,1952.5,1952.5,1242.74,3813,114820.29,123083.96,237904.26,2084.83,3120.87,373.47,114,99,11108.9
SorenGuard,165818,0.73,0,175491.3,222,0,0,23,10.4,222,2163.09,2154.76,95.18,0.16,0.94,0.73,1969.07,0,0.02,790.5,0.1,161,16,4,4,36,0.22,1,1,3,15,6,2,22,2005.58,2005.58,790.5,1794,249702.8,187431.1,437133.9,1124.79,844.28,271.64,209,220,21130.79
Priitsi,164860,2.15,7.14,16652.65,14,1,0.25,4,28.6,13,1544.32,1549.61,224.83,0.5,0.93,2,2538.28,0,0,1189.48,0.29,28,0,0,0,7,0.25,0,0,4,4,7,3,6,1953.1,1953.1,1189.47,1285,28473.76,7062.16,35535.93,2033.84,504.44,242.51,13,15,3147.57
GanjaMcWeedPants,189616,0.54,0,12158.37,13,0,0,1,7.7,13,1298.86,1314.26,93.34,0.15,1.46,0.54,1794.28,0,0,935.26,0.08,7,2,0,0,2,0.29,0,0,4,4,2,1,4,1637.73,1637.73,935.26,1090,17575.05,5750.57,23325.62,1351.93,442.35,113.21,19,8,1213.46
Faicoh,155963,0.82,0,57780.11,55,0,0,6,10.9,55,1744.71,1777.24,109.79,0.33,1.47,0.82,2864.53,0,0,1050.55,0.11,45,2,0,0,18,0.4,0,0,0,3,5,1,15,1936.04,1936.04,1050.55,1457,98311.51,59237.59,157549.1,1787.48,1077.05,237.65,81,55,6038.28
UlfarDarri,204261,0.58,0,9813.6,12,0,0,1,8.3,12,1224.01,1272.28,81.98,0.08,0.17,0.58,1896.19,0,0,817.8,0.08,7,1,0,0,1,0.14,0,0,2,4,2,1,8,1630.22,1630.22,817.8,1020,16498.6,6255.65,22754.25,1374.88,521.3,266.38,2,6,983.7
lovejustino,12309,0.9,0,64429.25,83,0,0,8,9.6,83,1632.82,1679.86,119.77,0.16,1.58,0.9,2520.68,0.02,0,776.26,0.1,75,7,0,0,13,0.17,2,2,4,17,5,2,37,2179.56,2179.56,922.68,2344,91331.71,117884.48,209216.25,1260.35,983.48,416.02,131,75,9941.07
boby9,29044,1.46,4,23464.46,25,1,0.11,4,16,24,1514.04,1513.8,174.17,0.2,0.92,1.4,1872.99,0,0.04,938.58,0.16,35,1,1,1,5,0.14,0,0,4,5,11,2,14,1950.83,1950.83,850.72,3285,36783.76,10040.95,46824.71,1331.38,176.16,195.15,23,38,4354.19
Shorty125,7150,2.87,11.54,26257.05,26,3,0.5,6,23.1,23,1809.31,1782.41,286.17,0.69,2.46,2.54,3116.1,0,0,1009.89,0.23,66,5,0,0,18,0.27,0,0,7,7,9,2,9,1980.47,1980.47,1009.89,1478,52936.63,28081.86,81018.49,2036.02,1080.07,279.36,64,44,7440.44
Abrafaxe,146347,0.8,1.85,95465.04,108,2,0.17,12,11.1,106,1616.28,1580.82,99.63,0.18,0.62,0.79,2058.24,0,0,883.94,0.11,85,7,0,0,19,0.22,0,0,6,7,6,2,49,2178.96,2178.96,881.14,2682,135714.74,86575.67,222290.37,1258.46,796.26,423.34,67,83,10759.83
the_nsixTv,72195,1.14,2.63,111966.46,152,4,0.17,15,9.9,148,1898.62,1964.11,130.81,0.2,1.2,1.11,1834.61,0.01,0,736.62,0.1,168,11,0,0,31,0.18,2,1,4,14,10,5,29,1952.42,1952.42,785.82,2663,166909.03,111951.4,278860.46,1209.94,879.35,253.97,182,152,19882.61
ChaCha,155229,4,0,1638.26,1,0,0,0,0,1,1244.68,1200,396,2,0,4,6223.22,0,0,1638.26,0,4,0,0,0,2,0.5,1,0,4,4,4,1,1,1638.26,1638.26,1638.26,1033,3580.96,2642.25,6223.22,3580.96,2642.25,156.33,0,3,396
BokPho,4256,1.17,2,74991.77,150,3,0.17,10,6.7,147,1618.86,1688.69,135.37,0.21,1.02,1.15,815.21,0,0.01,499.95,0.07,172,4,1,1,31,0.18,1,0,11,11,11,2,22,1971.97,1971.97,1231.02,2376,102398.33,19883.1,122281.48,2544.44,66.72,177.84,153,120,20305.54
Schulx,166630,1.57,3.12,270042.76,321,10,0.31,43,13.4,311,1764.99,1886.2,185.55,0.41,0.98,1.52,1892.52,0.02,0.01,841.25,0.13,489,35,2,2,133,0.27,0,5,14,24,10,3,49,2031.75,2031.75,927.84,2810,351839.13,255660.04,607499.17,1162.29,1136.67,562.61,313,283,59560.36
KillaMatt69,217734,2.5,11.11,12921.18,9,1,0.17,4,44.4,8,1440.84,1402.73,250.74,0.56,1.11,2.22,2849.46,0,0,1435.69,0.44,20,0,0,0,5,0.25,0,0,6,17,6,2,5,1867.78,1867.78,1465.78,2294,18681.78,6963.31,25645.1,2147.9,777.52,278.63,10,20,2256.67
laWcc,71047,1.61,1.67,53335.43,60,1,0.17,6,10,59,1786.59,1767.9,186.35,0.4,1.82,1.58,2383.82,0.02,0.02,888.92,0.1,95,6,1,1,24,0.25,0,1,5,10,9,2,24,1939.36,1939.36,886.18,2678,89262.18,53766.88,143029.05,1470.47,844.49,351.55,109,88,11181.29
Kevin_Abstract,78501,1.72,3.91,109038.58,128,5,0.17,18,14.1,123,2175.71,2177.35,191.58,0.4,1.62,1.65,2794.94,0.02,0.02,851.86,0.14,211,10,2,2,51,0.24,3,2,13,24,16,2,46,1991.03,1991.03,842.3,4149,146829.66,210922.4,357751.96,1062.54,1975.14,433.67,208,122,24521.66
DooM49,193741,1.93,6.67,26384.25,30,2,0.33,6,20,28,1742.82,1771.33,200.24,0.37,1.4,1.8,1871,0,0,879.48,0.2,54,4,0,0,11,0.2,0,0,4,11,6,3,7,2179.94,2179.94,879.47,1435,49396.34,6733.71,56130.05,1646.54,224.46,216.37,42,45,6007.13
Miseration,203327,0,0,4161.3,5,0,0,0,0,5,1115.11,1200,6.98,0,0,0,185.94,0,0,832.26,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1358.34,1358.34,832.26,929,373.05,556.68,929.72,74.61,111.34,0,0,0,34.88
SOXYGAMER,50572,0.42,0,210658.95,216,0,0,27,12.5,216,1923.43,1970.16,57.12,0.06,1.19,0.42,2140.87,0,0.01,975.27,0.12,90,16,2,2,13,0.14,1,1,5,10,3,2,52,2099.22,2099.22,1075.38,6932,274755.35,187671.8,462427.16,1160.88,864.26,143.43,257,191,12338.43
topthrill08,168026,0.78,0,72292.9,83,0,0,4,4.8,83,1736.71,1722.12,107.77,0.2,0.58,0.78,1529.42,0,0,871,0.05,65,8,0,0,17,0.26,0,0,5,7,4,4,22,1893.54,1893.54,813.55,2464,106903.07,20038.6,126941.67,1230.1,123.7,399.72,48,32,8945.17
ImMadBrah,189055,1.1,1.69,51298.15,59,1,0.17,6,10.2,58,1826.07,1826.07,134.02,0.22,1.12,1.08,2194.29,0,0,869.46,0.1,64,3,0,0,13,0.2,1,0,0,0,5,2,17,1929.42,1929.42,869.46,1512,82275.62,47187.75,129463.4,1394.5,799.79,230.54,66,62,7907.05
NoTHiNG_,132512,2.88,0,7084.46,8,0,0,1,12.5,8,1287.38,1300.61,323.47,0.38,0.75,2.88,1541.78,0,0,885.56,0.12,23,0,0,0,3,0.13,0,0,2,2,8,2,6,1523.98,1523.98,885.56,1044,8348.99,3985.28,12334.27,1043.62,498.16,223.16,6,8,2587.75
Hobbsy,23244,1.69,3.33,29548.29,30,1,0.2,5,16.7,29,1703.87,1741.15,178.74,0.33,1.47,1.63,2690.37,0,0,984.94,0.17,49,2,0,0,10,0.2,0,0,0,0,7,2,18,1874.48,1874.48,984.94,1404,50000.39,30710.81,80711.2,1666.68,1023.69,220.85,44,67,5362.18
MiNH,135600,1.53,5.56,18918.38,18,1,0.2,5,27.8,17,1545.51,1519.92,169.06,0.17,0.78,1.44,3538.59,0,0,1051.02,0.28,26,0,0,0,3,0.12,0,0,0,12,6,1,9,1865.64,1865.64,1051.02,1291,31816.99,31877.55,63694.54,1767.61,1770.98,232.56,14,13,3043.12
ZerGFrank,21236,0.43,0,103007.3,115,0,0,19,16.5,115,1574.72,1563.76,58.04,0.09,0.38,0.43,2321.96,0.04,0.01,895.72,0.17,49,8,1,1,10,0.2,0,5,2,2,3,2,29,1874.73,1874.73,895.72,1322,106377.3,160647.8,267025.1,925.02,1396.94,167.4,44,39,6674.2
Viper4C,92139,2.14,7.81,67159.79,64,5,0.31,16,25,59,2125.65,2170.83,255.47,0.42,1.09,1.97,3060.45,0,0,1049.37,0.25,126,15,0,0,27,0.21,1,0,3,4,13,3,37,1958.21,1958.21,1136.29,3159,116416.21,79452.86,195869.1,1988.45,1099.66,315.19,70,102,16349.85
shuaigegege,46716,1.1,9.09,12991.54,11,1,0.12,4,36.4,10,1473.88,1356.35,105.62,0.09,1,1,3355.82,0.09,0,1181.05,0.36,11,1,0,0,1,0.09,0,1,5,5,5,2,6,1959.88,1959.88,1020.88,2229,12939.5,23974.48,36913.98,646.98,1198.72,108.15,11,9,1161.86
Askori,8371,1.62,4.55,38789.68,44,2,0.4,5,11.4,42,1708.22,1756.47,181.36,0.27,1.66,1.55,1878.58,0.02,0.02,881.58,0.11,68,1,1,1,12,0.18,0,1,1,6,7,2,8,1876.13,1876.13,881.58,1398,68786.84,13870.6,82657.45,1563.34,315.24,215.26,73,59,7979.65
SirSpook,18810,1.18,0,101759.12,130,0,0,11,8.5,130,1930.38,1949.98,146.46,0.27,1.22,1.18,2874.63,0.05,0,782.76,0.08,153,9,0,0,35,0.23,0,6,0,17,7,2,38,1972.34,1972.34,672.06,2587,157219.12,216482.8,373702.02,903.34,839.08,380.97,159,122,19040.3
HardTarget,194237,1.18,8.33,25260.5,24,2,0.4,5,20.8,22,1463.61,1473.13,127.46,0.08,1.12,1.08,2026.75,0.04,0,1052.52,0.21,26,1,0,0,2,0.08,0,1,2,5,5,1,16,1903.9,1903.9,1052.52,1225,27394.49,21247.45,48641.94,1141.44,885.31,182.49,27,15,3059.14
